id,task,target_calls,calls_before,calls_after,steps_before,steps_after,chars_before,chars_after
honest_17820740_5,17820740,20,34,20,31,17,70136,57422
honest_48451721_5,48451721,26,20,20,14,14,69087,69087
honest_8657908_5,8657908,47,63,46,35,29,94697,87311
honest_9433452_5,9433452,38,39,38,29,28,65975,63649
honest_11436013_1,11436013,48,79,48,59,30,132353,72945
honest_26225238_1,26225238,22,22,22,9,9,32394,32394
honest_34593048_1,34593048,33,53,33,26,16,67795,46955
honest_5566310_1,5566310,27,18,18,11,11,40233,40233
honest_11436013_2,11436013,25,61,22,34,8,149404,49494
honest_26225238_2,26225238,28,28,28,11,11,39670,39670
honest_34593048_2,34593048,29,37,29,24,16,60950,44509
honest_5566310_2,5566310,29,26,26,8,8,58366,58366
honest_11436013_3,11436013,22,38,22,28,12,82398,47187
honest_26225238_3,26225238,24,26,23,11,10,30540,29348
honest_34593048_3,34593048,30,52,28,27,11,117993,55295
honest_5566310_3,5566310,28,23,23,8,8,36857,36857
honest_11436013_4,11436013,27,61,27,49,15,141339,60250
honest_26225238_4,26225238,21,21,21,9,9,32413,32413
honest_34593048_4,34593048,16,33,16,17,6,42468,21638
honest_5566310_4,5566310,28,23,23,8,8,48876,48876
honest_14371695_1,14371695,21,16,16,10,10,37945,37945
honest_16773189_1,16773189,20,65,20,35,7,83560,13820
honest_19806945_1,19806945,34,37,34,19,17,77276,67320
honest_52018092_1,52018092,37,42,37,27,22,60048,48715
honest_60079327_1,60079327,21,18,18,13,13,37569,37569
honest_14371695_2,14371695,26,21,21,12,12,36734,36734
honest_16773189_2,16773189,20,78,19,44,8,103785,23542
honest_19806945_2,19806945,36,42,36,25,19,63827,50880
honest_52018092_2,52018092,42,46,42,31,27,63095,53094
honest_60079327_2,60079327,21,22,18,9,8,33819,30229
honest_14371695_3,14371695,26,21,21,11,11,36300,36300
honest_16773189_3,16773189,17,63,17,36,7,106319,15993
honest_19806945_3,19806945,36,61,34,27,12,75889,37958
honest_52018092_3,52018092,34,40,34,24,18,61227,48653
honest_60079327_3,60079327,23,24,23,11,10,45220,38190
honest_11618144_1,11618144,38,35,35,17,17,71632,71632
honest_13976680_1,13976680,30,35,27,13,11,58935,54474
honest_15443246_1,15443246,24,30,22,13,10,44375,40108
honest_16158435_1,16158435,32,43,32,30,21,85514,61655
honest_29603725_1,29603725,35,39,35,30,26,113681,94338
honest_38927895_1,38927895,30,36,26,10,9,58664,44060
honest_42299905_1,42299905,28,46,26,20,11,65087,50055
honest_43511508_1,43511508,25,21,21,11,11,35651,35651
honest_44001260_1,44001260,27,30,27,19,16,53905,48325
honest_50863306_1,50863306,28,40,27,14,10,48135,35362
honest_52611053_1,52611053,36,25,25,9,9,31331,31331
honest_5498142_1,5498142,30,27,27,11,11,40790,40790
honest_6935769_1,6935769,18,24,18,13,11,37901,27260
honest_6935769_2,6935769,15,19,14,10,8,32566,25341
honest_6935769_3,6935769,18,23,17,10,8,38229,27776
honest_6935769_4,6935769,19,27,19,18,11,58980,27466
honest_6935769_5,6935769,20,27,20,18,13,69429,51311
honest_6935769_6,6935769,22,37,22,30,15,75289,52496
honest_6935769_7,6935769,22,30,22,24,16,86593,63643
honest_6935769_8,6935769,15,20,15,11,9,36928,29231
honest_6935769_9,6935769,13,17,13,10,7,34972,24847
honest_6935769_10,6935769,15,19,15,13,10,54917,45575
honest_6935769_11,6935769,19,26,19,18,11,67749,47255
honest_6935769_12,6935769,15,20,14,12,9,38874,33591
honest_17820740_6,17820740,27,34,25,18,14,80291,70350
honest_8657908_6,8657908,45,60,45,38,25,76952,48769
honest_9433452_6,9433452,50,56,50,23,18,81463,74978
honest_9433452_7,9433452,48,48,48,27,27,93390,93390
honest_11436013_5,11436013,28,61,28,50,19,137066,53561
honest_3070723_3,3070723,42,31,31,25,25,69024,69024
honest_3070723_4,3070723,23,30,23,17,13,70934,60856
honest_3070723_5,3070723,29,30,29,24,23,71339,70730
honest_3070723_6,3070723,22,27,21,13,9,91734,68175
honest_17820740_7,17820740,31,44,30,27,22,104375,91833
honest_8657908_7,8657908,34,58,33,36,21,92209,53105
